group_name,endpoint_or_pipeline,api_field,current_database_table,current_database_column,rename_to,status,notes
01_accounts,accounts-info,id,dim_meta_accounts,id,,approved,
01_accounts,accounts-info,name,dim_meta_accounts,account_name,,approved,
01_accounts,accounts-info,account_status,dim_meta_accounts,account_status,,approved,
01_accounts,accounts-info,currency,dim_meta_accounts,currency,,approved,
01_accounts,accounts-info,timezone_id,dim_meta_accounts,timezone_id,,approved,
01_accounts,accounts-info,amount_spent,dim_meta_accounts,amount_spent,,approved,
01_accounts,accounts-info,spend_cap,dim_meta_accounts,spend_cap,,approved,
01_accounts,accounts-info,balance,dim_meta_accounts,balance,,approved,
01_accounts,accounts-info,business_name,dim_meta_accounts,business_name,,approved,
01_accounts,accounts-info,disable_reason,dim_meta_accounts,disable_reason,,approved,
01_accounts,accounts-info,funding_source_details.display_string,dim_meta_accounts,funding_source_display,,approved,
01_accounts,accounts-info,funding_source_details.id,dim_meta_accounts,funding_source_id,,approved,
01_accounts,accounts-info,funding_source_details.type,dim_meta_accounts,funding_source_type,,approved,
01_accounts,accounts-info,created_time,dim_meta_accounts,created_time,,approved,
02_campaigns,campaigns-info,id,dim_meta_campaigns,campaign_id,,approved,
02_campaigns,campaigns-info,name,dim_meta_campaigns,campaign_name,,approved,
02_campaigns,campaigns-info,account_id,dim_meta_campaigns,account_id,,approved,
02_campaigns,campaigns-info,created_time,dim_meta_campaigns,created_time,,approved,
02_campaigns,campaigns-info,start_time,dim_meta_campaigns,start_time,,approved,
02_campaigns,campaigns-info,stop_time,dim_meta_campaigns,stop_time,,approved,
02_campaigns,campaigns-info,updated_time,dim_meta_campaigns,updated_time,,approved,
02_campaigns,campaigns-info,bid_strategy,dim_meta_campaigns,bid_strategy,,approved,
02_campaigns,campaigns-info,objective,dim_meta_campaigns,objective,,approved,
02_campaigns,campaigns-info,status,dim_meta_campaigns,status,,approved,
02_campaigns,campaigns-info,effective_status,dim_meta_campaigns,effective_status,,approved,
02_campaigns,campaigns-info,buying_type,dim_meta_campaigns,buying_type,,approved,
02_campaigns,campaigns-info,daily_budget,dim_meta_campaigns,daily_budget,,approved,
02_campaigns,campaigns-info,lifetime_budget,dim_meta_campaigns,lifetime_budget,,approved,
02_campaigns,campaigns-info,budget_remaining,dim_meta_campaigns,budget_remaining,,approved,
03_adsets,adsets-info,id,dim_meta_adsets,adset_id,,approved,
03_adsets,adsets-info,name,dim_meta_adsets,adset_name,,approved,
03_adsets,adsets-info,account_id,dim_meta_adsets,account_id,,approved,
03_adsets,adsets-info,campaign_id,dim_meta_adsets,campaign_id,,approved,
03_adsets,adsets-info,created_time,dim_meta_adsets,created_time,,approved,
03_adsets,adsets-info,start_time,dim_meta_adsets,start_time,,approved,
03_adsets,adsets-info,end_time,dim_meta_adsets,end_time,,approved,
03_adsets,adsets-info,updated_time,dim_meta_adsets,updated_time,,approved,
03_adsets,adsets-info,status,dim_meta_adsets,status,,approved,
03_adsets,adsets-info,effective_status,dim_meta_adsets,effective_status,,approved,
03_adsets,adsets-info,learning_stage_info.last_sig_edit_ts,dim_meta_adsets,learning_stage_info_last_sig_edit_ts,,approved,
03_adsets,adsets-info,learning_stage_info.conversions,dim_meta_adsets,learning_stage_info_conversions,,approved,
03_adsets,adsets-info,learning_stage_info.status,dim_meta_adsets,learning_stage_info_status,,approved,
